GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BankingApp,com.hcl.controller,LoginController,0,24,0,0,0,5,0,2,0,2
BankingApp,com.hcl.controller,TransactionController,40,8,2,0,7,2,2,1,1,1
BankingApp,com.hcl.controller,UserController,0,31,0,0,0,6,0,3,0,3
BankingApp,com.hcl.model,Banificiary,38,0,0,0,16,0,11,0,11,0
BankingApp,com.hcl.model,Account,31,0,0,0,13,0,9,0,9,0
BankingApp,com.hcl.model,Trasnsction,45,18,0,0,6,8,5,5,5,5
BankingApp,com.hcl.model,User,131,50,0,0,33,21,16,7,16,7
BankingApp,com.hcl.dto,UserRegistrationDto,49,3,0,0,21,1,14,1,14,1
BankingApp,com.hcl.dto,ResponseMesageDto,3,7,0,0,1,3,1,2,1,2
BankingApp,com.hcl.dto,TrasnsctionDto,67,3,0,0,16,1,11,1,11,1
BankingApp,com.hcl.dto,UserDto,0,17,0,0,0,7,0,5,0,5
BankingApp,com.hcl.Exception,BanificiaryNotFoundException,3,0,0,0,1,0,1,0,1,0
BankingApp,com.hcl.Exception,UserNotfoundException,0,4,0,0,0,2,0,1,0,1
BankingApp,com.hcl.Exception,Exception,4,0,0,0,2,0,1,0,1,0
BankingApp,com.hcl.Exception,InSufficientBalanceInAccount,3,0,0,0,1,0,1,0,1,0
BankingApp,com.hcl.Exception,AccountNotFound,3,0,0,0,2,0,1,0,1,0
BankingApp,com.hcl.Exception,ErrorResponse,46,0,0,0,20,0,10,0,10,0
BankingApp,com.hcl.Exception,CustomizedResponseEntityExceptionHandler,146,0,0,0,28,0,7,0,7,0
BankingApp,com.hcl,BankingAppApplication,8,0,0,0,3,0,2,0,2,0
BankingApp,com.hcl.swagger,SwaggerConfiguration,14,0,0,0,6,0,2,0,2,0
BankingApp,com.hcl.service,TransactionServiceImpl,93,8,4,0,19,2,5,1,3,1
BankingApp,com.hcl.service,UserServiceImpl,51,27,1,1,11,7,2,2,1,2
BankingApp,com.hcl.service,LoginServiceImpl,5,38,1,3,1,8,1,3,0,2
